,Index,Antecedente,Consecuente,Support,Confidence,Lift
92,93,X (feat. Future),No Heart,0.0103,0.5024390243902439,33.72073989196268
91,92,No Heart,X (feat. Future),0.0103,0.6912751677852349,33.72073989196268
105,106,Knee Deep (feat. Jimmy Buffett),Chicken Fried,0.0107,0.656441717791411,30.112005403275734
107,108,You Was Right,Money Longer,0.0117,0.5879396984924623,29.84465474581027
106,107,Money Longer,You Was Right,0.0117,0.5939086294416244,29.844654745810267
56,57,Butterfly Effect,Bank Account,0.0111,0.5721649484536082,24.769045387602088
83,84,Magnolia,Bank Account,0.0113,0.565,24.458874458874458
7,8,"('HUMBLE.', 'Tunnel Vision')",XO TOUR Llif3,0.0102,0.7338129496402879,22.236756049705694
31,32,"('Bounce Back', 'Broccoli (feat. Lil Yachty)')",Bad and Boujee (feat. Lil Uzi Vert),0.01,0.7751937984496124,21.960164262028684
48,49,"('HUMBLE.', 'XO TOUR Llif3')",DNA.,0.0102,0.5,21.551724137931036
30,31,"('Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)')",Bounce Back,0.01,0.6451612903225806,21.50537634408602
1,2,"('XO TOUR Llif3', 'goosebumps')",Mask Off,0.0101,0.6644736842105263,21.027648234510323
4,5,"('HUMBLE.', 'goosebumps')",Mask Off,0.011,0.6586826347305389,20.84438717501705
13,14,"('Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.')",Mask Off,0.011,0.6586826347305389,20.84438717501705
2,3,"('Mask Off', 'goosebumps')",XO TOUR Llif3,0.0101,0.6824324324324323,20.679770679770677
34,35,"('HUMBLE.', 'Slippery (feat. Gucci Mane)')",XO TOUR Llif3,0.0101,0.6824324324324323,20.679770679770677
39,40,"('HUMBLE.', 'iSpy (feat. Lil Yachty)')",Mask Off,0.0101,0.6516129032258065,20.620661494487543
10,11,"('Bounce Back', 'HUMBLE.')",Mask Off,0.0101,0.6474358974358975,20.488477766958777
44,45,"('Congratulations', 'goosebumps')",XO TOUR Llif3,0.0104,0.6709677419354838,20.33235581622678
51,52,"('HUMBLE.', 'XO TOUR Llif3')",Mask Off,0.0131,0.642156862745098,20.32141970712335
15,16,"('HUMBLE.', 'goosebumps')",XO TOUR Llif3,0.0111,0.6646706586826348,20.14153511159499
0,1,"('Mask Off', 'XO TOUR Llif3')",goosebumps,0.0101,0.6196319018404909,20.11791889092503
28,29,"('Congratulations', 'Mask Off')",XO TOUR Llif3,0.0107,0.6604938271604939,20.014964459408905
8,9,"('HUMBLE.', 'XO TOUR Llif3')",Tunnel Vision,0.0102,0.5,19.841269841269842
50,51,"('HUMBLE.', 'Mask Off')",XO TOUR Llif3,0.0131,0.642156862745098,19.459298871063574
25,26,"('DNA.', 'Mask Off')",HUMBLE.,0.01,0.9090909090909092,19.342359767891683
78,79,Drowning (feat. Kodak Black),XO TOUR Llif3,0.0124,0.6358974358974359,19.269619269619266
29,30,"('Congratulations', 'XO TOUR Llif3')",Mask Off,0.0107,0.5977653631284916,18.916625415458594
45,46,"('Congratulations', 'XO TOUR Llif3')",goosebumps,0.0104,0.5810055865921788,18.86381774649931
46,47,"('DNA.', 'XO TOUR Llif3')",HUMBLE.,0.0102,0.864406779661017,18.39163360980887
41,42,"('Congratulations', 'HUMBLE.')",XO TOUR Llif3,0.0128,0.5981308411214954,18.125177003681678
24,25,"('Congratulations', 'HUMBLE.')",Mask Off,0.0121,0.5654205607476636,17.89305571986277
76,77,Portland,XO TOUR Llif3,0.0102,0.5895953757225434,17.86652653704677
64,65,Magnolia,XO TOUR Llif3,0.0117,0.585,17.727272727272727
16,17,"('HUMBLE.', 'XO TOUR Llif3')",goosebumps,0.0111,0.5441176470588235,17.666157372039724
87,88,What Do You Mean?,Sorry,0.0128,0.5818181818181819,17.63085399449036
3,4,"('HUMBLE.', 'Mask Off')",goosebumps,0.011,0.5392156862745098,17.507002801120446
