,0
It Wasn't Me,0.0232
Yeah!,0.0254
Say My Name,0.0302
Hey Ya! - Radio Mix / Club Mix,0.0232
Forever,0.0346
Closer,0.0778
Mr. Brightside,0.0272
Home,0.044
Billie Jean,0.0208
Ignition - Remix,0.0354
Don't Stop Believin',0.026
Bohemian Rhapsody - Remastered 2011,0.0214
No Role Modelz,0.0336
Stronger,0.0284
Lean On (feat. MØ & DJ Snake),0.0282
Trouble,0.0236
All I Want,0.0232
Riptide,0.0372
Intro,0.0234
Mercy,0.031
Gravity,0.0228
One Dance,0.0446
Sober,0.026
Santeria,0.0214
Redbone,0.0306
Body Like A Back Road,0.0274
My Girl,0.0304
Crazy,0.023
Sweet Home Alabama,0.0212
Despacito - Remix,0.0306
I'm the One,0.032
Hello,0.0296
Jungle,0.0204
Uptown Funk,0.0232
V. 3005,0.0216
Where Are Ü Now (with Justin Bieber),0.021
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0224
Hold On,0.0256
Angel,0.0228
Low Life,0.0248
Waves,0.0272
White Iverson,0.0288
Jumpman,0.0282
Ni**as In Paris,0.0312
Black Beatles,0.0282
Paris,0.0276
Bounce Back,0.03
goosebumps,0.0318
F**kin' Problems,0.0212
Deja Vu,0.0258
Congratulations,0.0438
XO TOUR Llif3,0.0342
Magnolia,0.0226
Unforgettable,0.0324
Bank Account,0.0254
Stay (with Alessia Cara),0.0212
Something Just Like This,0.0228
Believer,0.0234
Let It Go,0.0298
Die A Happy Man,0.0216
Hallelujah,0.0272
Blessings,0.0294
Skinny Love,0.0242
Caroline,0.0398
Famous,0.0204
Fake Love,0.0332
Shape of You,0.0346
That's What I Like,0.0252
All Night (feat. Knox Fortune),0.02
Chicken Fried,0.0206
Come On Eileen,0.0202
Radioactive,0.0264
Never Be Like You,0.0232
Say It,0.0288
Alright,0.0308
Monster,0.0236
Starboy,0.0284
pick up the phone,0.0202
T-Shirt,0.0372
Selfish,0.0256
Slide,0.0328
September,0.0266
Ain't No Mountain High Enough,0.023
Kids,0.022
Gold,0.0404
Down,0.0336
Let Me Love You,0.0396
Stay,0.035
Pumped Up Kicks,0.02
Halo,0.0224
Can't Feel My Face,0.0222
"i hate u, i love u (feat. olivia o'brien)",0.0228
With You,0.025
Location,0.0318
1-800-273-8255,0.026
Swang,0.0212
Don't,0.0278
Hurricane,0.03
Sorry,0.0356
What Do You Mean?,0.024
Roses,0.0462
Middle,0.0222
Shut Up and Dance,0.0208
Cheap Thrills,0.0218
Thinking Out Loud,0.0228
Summer,0.0226
Can't Hold Us - feat. Ray Dalton,0.02
Young Dumb & Broke,0.0238
Stay With Me,0.0206
Lay Me Down,0.0202
Paradise,0.0236
All of Me,0.0244
Sugar,0.0222
Wagon Wheel,0.0226
Heathens,0.0214
Cold Water (feat. Justin Bieber & MØ),0.027
Ride,0.0446
Trap Queen,0.0278
I Don't Fuck With You,0.0246
Fast Car,0.0206
rockstar,0.0234
Passionfruit,0.0294
HUMBLE.,0.0466
Tunnel Vision,0.0266
Drowning (feat. Kodak Black),0.0204
Don't Let Me Down,0.032
Lose Yourself - Soundtrack Version,0.0216
Let Her Go,0.0246
Panda,0.032
Broccoli (feat. Lil Yachty),0.0398
No Problem (feat. Lil Wayne & 2 Chainz),0.0316
Bad and Boujee (feat. Lil Uzi Vert),0.035
Mask Off,0.0326
Slippery (feat. Gucci Mane),0.0238
Butterfly Effect,0.0216
DNA.,0.0242
Antidote,0.0258
Numb,0.02
Stressed Out,0.0224
Ophelia,0.0208
"Me, Myself & I",0.0254
I Took A Pill In Ibiza - Seeb Remix,0.024
Fancy,0.0206
Bodak Yellow,0.0204
No Diggity,0.0212
Chill Bill,0.0228
Work,0.0276
You,0.0234
iSpy (feat. Lil Yachty),0.0356
Hotline Bling,0.0284
The Hills,0.0278
679 (feat. Remy Boyz),0.0244
Controlla,0.02
Wake Up,0.022
Needed Me,0.0242
Work from Home,0.0212
My House,0.0216
Believe,0.0214
Love Yourself,0.0236
Alive,0.0256
This Is What You Came For,0.0212
Drive,0.0256
Again,0.0224
Gold Digger,0.0308
Get Low - Street,0.02
I'm Yours,0.0246
7 Years,0.0206
"('Congratulations', 'HUMBLE.')",0.022
"('HUMBLE.', 'Mask Off')",0.0204
