,0
It Wasn't Me,0.0268
Yeah!,0.0264
Say My Name,0.0304
Hey Ya! - Radio Mix / Club Mix,0.0216
Forever,0.0372
Closer,0.0756
Mr. Brightside,0.0256
Home,0.0428
Billie Jean,0.02
Ignition - Remix,0.0392
Don't Stop Believin',0.0264
Bohemian Rhapsody - Remastered 2011,0.0232
No Role Modelz,0.0332
Stronger,0.0344
Lean On (feat. MØ & DJ Snake),0.0264
Summertime,0.02
Trouble,0.022
All I Want,0.024
Riptide,0.0336
Runaway,0.022
Intro,0.0208
Mercy,0.0376
Gravity,0.024
One Dance,0.0468
Sober,0.0224
Redbone,0.034
Body Like A Back Road,0.0284
My Girl,0.03
Starving,0.024
Crazy,0.0224
Sweet Child O' Mine,0.0216
Despacito - Remix,0.0304
I'm the One,0.0328
Hello,0.03
Jungle,0.02
'Till I Collapse,0.02
Uptown Funk,0.024
Where Are Ü Now (with Justin Bieber),0.0216
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0208
Hold On,0.0248
Angel,0.024
Low Life,0.0264
Waves,0.0324
White Iverson,0.0328
Jumpman,0.0328
Father Stretch My Hands Pt. 1,0.0212
Ni**as In Paris,0.0332
Black Beatles,0.0276
Paris,0.0296
Bounce Back,0.0292
goosebumps,0.0368
F**kin' Problems,0.0236
Deja Vu,0.0244
Congratulations,0.0444
XO TOUR Llif3,0.0348
Magnolia,0.0224
Unforgettable,0.0352
Bank Account,0.0276
LOVE. FEAT. ZACARI.,0.0204
Stay (with Alessia Cara),0.022
Something Just Like This,0.024
Believer,0.0232
Let It Go,0.028
Hallelujah,0.0252
Blessings,0.0304
Skinny Love,0.0212
Too Good,0.022
Caroline,0.0376
Famous,0.0232
Fake Love,0.0312
Wet Dreamz,0.02
Shape of You,0.0352
That's What I Like,0.0252
All Night (feat. Knox Fortune),0.0204
Come On Eileen,0.0216
Radioactive,0.0212
Never Be Like You,0.0244
Say It,0.0284
Alright,0.032
m.A.A.d city,0.0208
Monster,0.0232
Starboy,0.0264
pick up the phone,0.0212
T-Shirt,0.0316
Selfish,0.0272
Slide,0.0324
September,0.028
Ain't No Mountain High Enough,0.0204
Kids,0.0228
Gold,0.038
Down,0.0344
oui,0.0224
Let Me Love You,0.0448
Inside Out,0.0204
Stay,0.0376
Can't Feel My Face,0.0232
All My Friends,0.0208
"i hate u, i love u (feat. olivia o'brien)",0.0224
With You,0.026
Location,0.032
1-800-273-8255,0.026
Swang,0.0224
Take Me To Church,0.0208
Don't,0.0304
Say Something,0.0212
Hurricane,0.0312
Never Forget You,0.02
Sorry,0.0396
What Do You Mean?,0.022
Roses,0.048
Middle,0.0216
Shut Up and Dance,0.0244
Cheap Thrills,0.024
Thinking Out Loud,0.0236
Rather Be (feat. Jess Glynne),0.0208
Summer,0.0252
Young Dumb & Broke,0.0236
Wild Thoughts,0.0232
Stay With Me,0.0216
Paradise,0.02
All of Me,0.026
Sugar,0.0228
Heathens,0.0232
Cold Water (feat. Justin Bieber & MØ),0.0284
Ride,0.0484
Feels,0.022
Trap Queen,0.03
I Don't Fuck With You,0.0292
Fast Car,0.0232
Better Together,0.02
Stolen Dance,0.0204
Latch,0.0208
rockstar,0.0232
Passionfruit,0.0284
HUMBLE.,0.0504
Tunnel Vision,0.0284
You Was Right,0.0208
Don't Let Me Down,0.0328
Lose Yourself - Soundtrack Version,0.0204
Pompeii,0.0204
Let Her Go,0.0232
Panda,0.0332
Broccoli (feat. Lil Yachty),0.0456
Faded,0.0212
No Problem (feat. Lil Wayne & 2 Chainz),0.0352
Bad and Boujee (feat. Lil Uzi Vert),0.034
Mask Off,0.0288
Slippery (feat. Gucci Mane),0.0252
Butterfly Effect,0.0232
Portland,0.0204
DNA.,0.0268
Antidote,0.028
Numb,0.022
Stressed Out,0.024
"Me, Myself & I",0.026
I Took A Pill In Ibiza - Seeb Remix,0.0276
Secrets,0.02
Bodak Yellow,0.0228
No Diggity,0.0208
Cheerleader - Felix Jaehn Remix Radio Edit,0.0212
Chill Bill,0.0244
Work,0.0328
Money Longer,0.0208
Play It Again,0.0208
You,0.0224
iSpy (feat. Lil Yachty),0.0376
Hotline Bling,0.0316
The Hills,0.0272
679 (feat. Remy Boyz),0.024
Wake Up,0.0216
Needed Me,0.0232
Work from Home,0.0248
My House,0.0204
Love Yourself,0.0248
Alive,0.0276
This Is What You Came For,0.022
Silent Night,0.0212
Drive,0.0256
All Star,0.0212
Again,0.0224
Gold Digger,0.036
Get Low - Street,0.022
I'm Yours,0.0264
No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,0.0224
7 Years,0.0232
"('Congratulations', 'HUMBLE.')",0.022
"('DNA.', 'HUMBLE.')",0.0208
