,0
Toxic,0.0184
Crazy In Love,0.0152
Rock Your Body,0.0112
It Wasn't Me,0.0272
Yeah!,0.0288
My Boo,0.0128
Say My Name,0.0296
Hey Ya! - Radio Mix / Club Mix,0.0256
Promiscuous,0.0136
Where Is The Love?,0.0152
Whatcha Say,0.0112
Miss Independent,0.0128
Party In The U.S.A.,0.0232
Replay,0.016
Forever,0.0408
Closer,0.0712
Paper Planes,0.016
Mr. Brightside,0.0264
All The Small Things,0.0208
A Whole New World,0.0112
Belle,0.012
Home,0.0368
ABC,0.0104
Billie Jean,0.024
Seven Nation Army,0.0176
Ignition - Remix,0.0368
The Next Episode,0.016
Jessie's Girl,0.0168
Don't Stop Believin',0.0296
Bohemian Rhapsody - Remastered 2011,0.0272
Sweet Emotion,0.0128
Free Bird,0.0136
More Than a Feeling,0.0192
Pour Some Sugar On Me (2012),0.0112
No Role Modelz,0.0344
Changes,0.0112
Stronger,0.0416
You & Me - Flume Remix,0.0136
Sympathy For The Devil,0.0112
No Type,0.02
Man Of The Year,0.0152
Doses & Mimosas,0.0136
Work REMIX,0.0152
Do It Again,0.0144
Lean On (feat. MØ & DJ Snake),0.0272
Kiss Kiss,0.0104
Circles,0.0104
Summertime,0.016
Like Real People Do,0.0128
I Will Follow You Into The Dark,0.0104
Trouble,0.0288
All I Want,0.0264
Do I Wanna Know?,0.0112
Georgia,0.0112
Chasing Cars,0.0184
Riptide,0.0248
How to Save a Life,0.0176
Weak,0.0176
Runaway,0.0272
Intro,0.0216
Mercy,0.0408
Into You,0.0112
I Fall Apart,0.0152
What They Want,0.02
Losin Control,0.0152
Pull The Trigger,0.0112
Issues,0.0152
Gravity,0.028
Jocelyn Flores,0.0104
First,0.0128
One Dance,0.044
Sober,0.0256
You Don't Own Me,0.0112
No One,0.0144
Goodbye,0.012
Scars To Your Beautiful,0.0128
All Time Low,0.02
Better Man,0.0104
For What It's Worth,0.0104
Same Drugs,0.016
Your Love,0.0192
Your Song,0.0184
High,0.0104
This Town,0.02
Wonderwall - Remastered,0.0184
Old Thing Back (feat. Ja Rule and Ralph Tresvant),0.0136
Springsteen,0.0184
Santeria,0.0176
Brown Eyed Girl,0.0184
Heaven,0.0184
Malibu,0.0112
Redbone,0.0328
Slow Hands,0.0144
Blue Ain't Your Color,0.0152
Island In The Sun,0.0112
Body Like A Back Road,0.0264
Follow Me,0.0112
My Girl,0.0352
Build Me Up Buttercup,0.0112
I Want You Back,0.0224
Starving,0.0232
All The Time,0.0136
Smile,0.0232
Hell Of A Night,0.012
Eye of the Tiger,0.024
Stairway To Heaven,0.0152
Shine,0.016
Crazy,0.0216
Sweet Home Alabama,0.02
Sweet Child O' Mine,0.0232
Fortunate Son,0.0128
Despacito - Remix,0.0344
I'm the One,0.0352
Attention,0.0128
Hello,0.0272
Jungle,0.024
Gone,0.0128
Shelter,0.0128
Rise Up,0.0104
'Till I Collapse,0.0248
Wild for the Night,0.0208
Rap God,0.0128
Kryptonite,0.012
Last Resort,0.0128
Ghost,0.0176
Trumpets,0.016
Uptown Funk,0.024
Young Blood,0.0136
Higher,0.0224
V. 3005,0.0168
You Know You Like It,0.012
I Want You,0.0104
Like I'm Gonna Lose You,0.0136
Where Are Ü Now (with Justin Bieber),0.0256
"See You Again (feat. Charlie Puth) - From ""Furious 7""",0.0184
Lost,0.0144
"Happy - From ""Despicable Me 2""",0.0168
Firework,0.012
Counting Stars,0.0168
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0248
Angels,0.0112
Drop the Game,0.0104
Wicked Games,0.0104
I Like Me Better,0.0104
Love,0.012
Hold On,0.0328
Angel,0.0288
California,0.0152
Low Life,0.028
Waves,0.0328
White Iverson,0.032
Jumpman,0.0312
Really Really,0.0136
Father Stretch My Hands Pt. 1,0.0208
Champions,0.0152
Ni**as In Paris,0.0336
Black Beatles,0.0296
X (feat. Future),0.0208
No Heart,0.0168
Too Many Years,0.0112
No Flockin,0.0176
Shabba,0.0104
Paris,0.0296
Water,0.0144
Worth It,0.0104
Bounce Back,0.0336
Hate Bein' Sober,0.0104
