,0
Crazy In Love,0.019
It Wasn't Me,0.0221
Yeah!,0.0244
Say My Name,0.0268
Hey Ya! - Radio Mix / Club Mix,0.0212
Promiscuous,0.0166
Party In The U.S.A.,0.0217
Replay,0.0151
Forever,0.0337
Closer,0.0761
Mr. Brightside,0.025
All The Small Things,0.0165
Home,0.0489
Billie Jean,0.0199
Seven Nation Army,0.0177
Ignition - Remix,0.0319
Jessie's Girl,0.0184
Don't Stop Believin',0.0271
Bohemian Rhapsody - Remastered 2011,0.0243
More Than a Feeling,0.0158
No Role Modelz,0.0312
Stronger,0.0263
No Type,0.0179
Lean On (feat. MØ & DJ Snake),0.0276
Summertime,0.017
Trouble,0.0219
All I Want,0.0234
Do I Wanna Know?,0.0165
Chasing Cars,0.0186
Riptide,0.0339
How to Save a Life,0.0169
Weak,0.0175
Runaway,0.0183
Intro,0.023
Mercy,0.0318
What They Want,0.0182
Issues,0.0172
Gravity,0.0211
One Dance,0.0433
Sober,0.025
All Time Low,0.0192
Your Love,0.0155
Your Song,0.0167
Wonderwall - Remastered,0.0184
Springsteen,0.0166
Santeria,0.0175
Brown Eyed Girl,0.0195
Heaven,0.015
Redbone,0.0285
Island In The Sun,0.0157
Body Like A Back Road,0.0273
My Girl,0.0295
I Want You Back,0.0194
Starving,0.0183
Smile,0.0181
Eye of the Tiger,0.0158
Crazy,0.0213
Sweet Home Alabama,0.0215
Sweet Child O' Mine,0.0213
Despacito - Remix,0.0288
I'm the One,0.0321
Attention,0.0156
Hello,0.0305
Jungle,0.0225
Gone,0.0153
'Till I Collapse,0.0172
Ghost,0.0168
Uptown Funk,0.0233
Higher,0.0158
V. 3005,0.0222
Where Are Ü Now (with Justin Bieber),0.0201
"See You Again (feat. Charlie Puth) - From ""Furious 7""",0.0152
Counting Stars,0.0175
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0209
Hold On,0.0235
Angel,0.0225
California,0.0154
Low Life,0.0241
Waves,0.0248
White Iverson,0.0306
Jumpman,0.029
Father Stretch My Hands Pt. 1,0.0165
Ni**as In Paris,0.0284
Black Beatles,0.0296
X (feat. Future),0.0205
Paris,0.0267
Water,0.0176
Bounce Back,0.03
Swimming Pools (Drank),0.0174
My Way,0.0157
goosebumps,0.0308
F**kin' Problems,0.0229
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.0152
Deja Vu,0.0262
Congratulations,0.041
XO TOUR Llif3,0.033
One Night,0.0174
Magnolia,0.02
Unforgettable,0.0331
Bank Account,0.0231
LOVE. FEAT. ZACARI.,0.0181
Stay (with Alessia Cara),0.0218
Something Just Like This,0.0222
Believer,0.0254
Strip That Down,0.0152
Let It Go,0.0281
Die A Happy Man,0.021
Hallelujah,0.0283
Blessings,0.0284
Skinny Love,0.0273
I Miss You,0.017
Too Good,0.0204
Energy,0.0169
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",0.0175
Caroline,0.0395
Wasted,0.0173
In the Name of Love,0.0174
Famous,0.0212
Fake Love,0.0307
Wet Dreamz,0.0193
You & Me,0.0178
Shape of You,0.0321
Perfect,0.0211
That's What I Like,0.0264
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0157
All Night (feat. Knox Fortune),0.0166
Say You Won't Let Go,0.0207
Beautiful Girls,0.0154
Chicken Fried,0.0218
Come On Eileen,0.0207
Demons,0.0195
Livin' On A Prayer,0.017
Radioactive,0.0246
Sweet Caroline,0.0172
Never Be Like You,0.0232
Say It,0.0286
Alright,0.0281
m.A.A.d city,0.0174
Bonfire,0.0176
Monster,0.0232
Thinkin Bout You,0.019
Planez,0.0164
Breezeblocks,0.0165
Midnight City,0.0168
Capsize,0.015
All Night,0.0158
Starboy,0.0285
pick up the phone,0.0199
Everyday,0.0194
I Feel It Coming,0.0157
T-Shirt,0.0355
Selfish,0.0271
Electric Love,0.0182
It Ain't Me (with Selena Gomez),0.0164
Slide,0.0323
Alone,0.0215
Can't Help Falling in Love,0.0163
September,0.0261
Ain't No Mountain High Enough,0.0233
Kids,0.02
Budapest,0.0164
Gold,0.0386
Toes,0.0162
Down,0.0296
Hips Don't Lie,0.0186
Juke Jam (feat. Justin Bieber & Towkio),0.0154
oui,0.0185
Exchange,0.0172
Come and See Me (feat. Drake),0.0158
Best I Ever Had,0.0157
Let Me Love You,0.0403
"Hold On, We're Going Home",0.0163
Earned It (Fifty Shades Of Grey),0.0191
Often,0.0166
Kiss Me,0.0164
Inside Out,0.0153
Stay,0.0355
Pumped Up Kicks,0.0188
Halo,0.02
Can't Feel My Face,0.0226
All My Friends,0.0188
Magic,0.0156
"i hate u, i love u (feat. olivia o'brien)",0.0207
PILLOWTALK,0.0163
This Could Be Us,0.0161
With You,0.023
Location,0.0326
1-800-273-8255,0.0264
Swang,0.0223
Take Me To Church,0.0195
Don't,0.0311
Say Something,0.0162
Hurricane,0.029
How Deep Is Your Love,0.0165
Never Forget You,0.0163
Without You,0.0153
Sorry,0.033
What Do You Mean?,0.022
Roses,0.0436
Runaway (U & I),0.0157
Middle,0.0231
Shut Up and Dance,0.0229
Cheap Thrills,0.0214
Thinking Out Loud,0.0238
Ho Hey,0.0173
This Is How We Roll,0.0152
Rather Be (feat. Jess Glynne),0.0183
Summer,0.0207
Can't Hold Us - feat. Ray Dalton,0.0186
Timber,0.0159
Sorry Not Sorry,0.0185
Young Dumb & Broke,0.0221
Wild Thoughts,0.0193
It's A Vibe,0.0161
Stay With Me,0.0205
Lay Me Down,0.0192
Paradise,0.0226
All of Me,0.0241
Sugar,0.0204
Wagon Wheel,0.0247
Cruise,0.0174
That's My Kind Of Night,0.0151
Dream On,0.016
Piano Man,0.0168
Just the Way You Are,0.015
Hotel California - Remastered,0.0186
You Make My Dreams - Remastered,0.0166
Heathens,0.0228
Cold Water (feat. Justin Bieber & MØ),0.0241
Ride,0.0429
Someday,0.0162
Feels,0.0168
I Don't Dance,0.0154
Chandelier,0.0164
"Flex (Ooh, Ooh, Ooh)",0.0167
Trap Queen,0.0298
FourFiveSeconds,0.015
0 To 100 / The Catch Up,0.0163
I Don't Fuck With You,0.0241
7/11,0.0152
POWER,0.0152
Fast Car,0.0234
Better Together,0.0158
Landslide,0.0184
XO,0.0175
Stitches,0.0174
Stolen Dance,0.0191
Fire,0.0158
Photograph,0.0219
Sweater Weather,0.018
Latch,0.0165
Hero,0.0192
rockstar,0.0234
LOYALTY. FEAT. RIHANNA.,0.0155
Passionfruit,0.0257
HUMBLE.,0.047
Tunnel Vision,0.0252
You Was Right,0.0199
Drowning (feat. Kodak Black),0.0195
Smells Like Teen Spirit,0.0171
G.O.M.D.,0.016
Africa,0.0171
Don't Let Me Down,0.0322
Lose Yourself - Soundtrack Version,0.0196
Pompeii,0.019
Let Her Go,0.0234
Take Your Time,0.0164
Panda,0.032
Broccoli (feat. Lil Yachty),0.0402
Faded,0.0194
No Problem (feat. Lil Wayne & 2 Chainz),0.0323
Bad and Boujee (feat. Lil Uzi Vert),0.0353
Mask Off,0.0316
Buy U a Drank (Shawty Snappin'),0.0167
Slippery (feat. Gucci Mane),0.0241
Butterfly Effect,0.0194
Sunday Morning,0.0168
Portland,0.0173
DNA.,0.0232
Antidote,0.0264
Numb,0.0187
Stressed Out,0.0228
Ophelia,0.0187
In Da Club,0.0174
"Me, Myself & I",0.0247
A Thousand Years,0.0153
I Took A Pill In Ibiza - Seeb Remix,0.0225
H.O.L.Y.,0.0159
Fancy,0.0183
Secrets,0.0182
I Won't Give Up,0.0161
Sail,0.0189
Royals,0.0153
Bodak Yellow,0.0189
Go Flex,0.0174
Come Get Her,0.0173
Drop It Like It's Hot,0.0155
Rich Girl,0.0164
No Diggity,0.0208
Cheerleader - Felix Jaehn Remix Radio Edit,0.0192
Breathe,0.0155
Chill Bill,0.023
Work,0.0271
Money Longer,0.0197
Pop Style,0.019
House Party,0.0188
Break Up In A Small Town,0.0151
Play It Again,0.0197
Knee Deep (feat. Jimmy Buffett),0.0163
You,0.0248
iSpy (feat. Lil Yachty),0.0339
Hotline Bling,0.0277
The Hills,0.028
679 (feat. Remy Boyz),0.0246
Controlla,0.0212
Promise,0.018
Wake Up,0.0215
Needed Me,0.0242
Work from Home,0.0222
24K Magic,0.0168
My House,0.021
Believe,0.022
Little Talks,0.0164
Only,0.0166
Love Yourself,0.0222
Alive,0.0233
Side To Side,0.0162
This Is What You Came For,0.0215
White Christmas,0.0157
Have Yourself A Merry Little Christmas,0.0159
Silent Night,0.0214
Drive,0.0242
Under The Bridge,0.0162
All Star,0.0168
Bang Bang,0.0187
HeadBand (feat. 2 Chainz),0.0161
The Scientist,0.0158
Started From the Bottom,0.015
Electric Feel,0.0153
River,0.0157
The Middle,0.015
Again,0.0214
Heartbeat,0.0176
Slow Motion,0.0189
Rolex,0.0161
Love Me,0.0184
Gold Digger,0.0291
Cake By The Ocean,0.0172
Get Low - Street,0.0173
Have You Ever Seen The Rain?,0.0153
"Hey, Soul Sister",0.0166
I'm Yours,0.0248
Wake Me Up - Radio Edit,0.0171
She Will Be Loved - Radio Mix,0.019
Pony,0.0161
Thunder,0.0194
2 Phones,0.0151
IV. sweatpants,0.0184
