,0
It Wasn't Me,0.0272
Yeah!,0.0288
Say My Name,0.0296
Hey Ya! - Radio Mix / Club Mix,0.0256
Party In The U.S.A.,0.0232
Forever,0.0408
Closer,0.0712
Mr. Brightside,0.0264
All The Small Things,0.0208
Home,0.0368
Billie Jean,0.024
Ignition - Remix,0.0368
Don't Stop Believin',0.0296
Bohemian Rhapsody - Remastered 2011,0.0272
No Role Modelz,0.0344
Stronger,0.0416
No Type,0.02
Lean On (feat. MØ & DJ Snake),0.0272
Trouble,0.0288
All I Want,0.0264
Riptide,0.0248
Runaway,0.0272
Intro,0.0216
Mercy,0.0408
What They Want,0.02
Gravity,0.028
One Dance,0.044
Sober,0.0256
All Time Low,0.02
This Town,0.02
Redbone,0.0328
Body Like A Back Road,0.0264
My Girl,0.0352
I Want You Back,0.0224
Starving,0.0232
Smile,0.0232
Eye of the Tiger,0.024
Crazy,0.0216
Sweet Home Alabama,0.02
Sweet Child O' Mine,0.0232
Despacito - Remix,0.0344
I'm the One,0.0352
Hello,0.0272
Jungle,0.024
'Till I Collapse,0.0248
Wild for the Night,0.0208
Uptown Funk,0.024
Higher,0.0224
Where Are Ü Now (with Justin Bieber),0.0256
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0248
Hold On,0.0328
Angel,0.0288
Low Life,0.028
Waves,0.0328
White Iverson,0.032
Jumpman,0.0312
Father Stretch My Hands Pt. 1,0.0208
Ni**as In Paris,0.0336
Black Beatles,0.0296
X (feat. Future),0.0208
Paris,0.0296
Bounce Back,0.0336
goosebumps,0.0448
F**kin' Problems,0.0208
Deja Vu,0.024
Congratulations,0.0472
XO TOUR Llif3,0.0368
Unforgettable,0.0312
Bank Account,0.0264
Something Just Like This,0.0264
Believer,0.0216
Let It Go,0.0272
Die A Happy Man,0.0208
Hallelujah,0.0248
Blessings,0.0256
Skinny Love,0.0208
Too Good,0.0232
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",0.02
Caroline,0.0408
Famous,0.0224
Fake Love,0.0344
Shape of You,0.0336
That's What I Like,0.024
All Night (feat. Knox Fortune),0.0208
Say You Won't Let Go,0.02
Chicken Fried,0.0224
Come On Eileen,0.024
Radioactive,0.0216
Sweet Caroline,0.02
Never Be Like You,0.0248
Say It,0.0288
Alright,0.0344
m.A.A.d city,0.0224
Monster,0.0208
Starboy,0.028
Semi-Charmed Life,0.0224
pick up the phone,0.0208
T-Shirt,0.032
Selfish,0.0264
Slide,0.032
Alone,0.02
September,0.0328
Ain't No Mountain High Enough,0.0248
Kids,0.0232
Gold,0.0376
Down,0.0296
oui,0.0264
Let Me Love You,0.0464
Earned It (Fifty Shades Of Grey),0.024
Stay,0.04
Halo,0.02
Can't Feel My Face,0.0224
With You,0.0224
Location,0.0384
1-800-273-8255,0.0288
Swang,0.0296
Don't,0.028
Hurricane,0.0272
Never Forget You,0.02
Sorry,0.048
What Do You Mean?,0.0232
Roses,0.044
Shut Up and Dance,0.0232
Cheap Thrills,0.0256
We Found Love,0.024
Thinking Out Loud,0.02
This Is How We Roll,0.0208
Summer,0.0232
Young Dumb & Broke,0.0232
Wild Thoughts,0.0208
Sugar,0.0208
Cruise,0.0208
Heathens,0.0224
Cold Water (feat. Justin Bieber & MØ),0.0264
Ride,0.044
Trap Queen,0.0304
I Don't Fuck With You,0.032
POWER,0.0208
Fast Car,0.0208
Latch,0.0256
rockstar,0.024
Passionfruit,0.0304
HUMBLE.,0.0528
Tunnel Vision,0.0304
You Was Right,0.02
Drowning (feat. Kodak Black),0.0216
Don't Let Me Down,0.0288
Lose Yourself - Soundtrack Version,0.0232
Pompeii,0.02
Take Your Time,0.0224
Panda,0.032
Broccoli (feat. Lil Yachty),0.048
Faded,0.0232
No Problem (feat. Lil Wayne & 2 Chainz),0.0288
Bad and Boujee (feat. Lil Uzi Vert),0.036
Mask Off,0.0296
Slippery (feat. Gucci Mane),0.0224
Butterfly Effect,0.02
Portland,0.02
DNA.,0.0232
Antidote,0.0272
Numb,0.0248
Stressed Out,0.024
In Da Club,0.02
"Me, Myself & I",0.0232
I Took A Pill In Ibiza - Seeb Remix,0.0232
I Wanna Dance with Somebody (Who Loves Me),0.02
Secrets,0.0224
Sail,0.0224
Royals,0.0216
Bodak Yellow,0.02
No Diggity,0.0232
Cheerleader - Felix Jaehn Remix Radio Edit,0.0224
Chill Bill,0.028
Work,0.0328
Money Longer,0.0208
Pop Style,0.0208
Play It Again,0.0224
iSpy (feat. Lil Yachty),0.0408
Hotline Bling,0.0264
The Hills,0.0248
679 (feat. Remy Boyz),0.0216
Controlla,0.0224
Wake Up,0.02
Needed Me,0.0288
Work from Home,0.0232
Believe,0.024
Love Yourself,0.0272
Alive,0.0248
This Is What You Came For,0.0232
All Star,0.0224
Love Me,0.0216
Gold Digger,0.0384
Get Low - Street,0.0224
I'm Yours,0.024
No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,0.0216
Creep,0.0216
7 Years,0.0208
"('Bounce Back', 'Congratulations')",0.0216
"('Congratulations', 'HUMBLE.')",0.024
"('HUMBLE.', 'XO TOUR Llif3')",0.0216
"('Broccoli (feat. Lil Yachty)', 'Caroline')",0.0216
"('Bounce Back', 'goosebumps')",0.0208
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Broccoli (feat. Lil Yachty)')",0.02
"('Congratulations', 'XO TOUR Llif3')",0.0208
"('Congratulations', 'goosebumps')",0.0248
"('XO TOUR Llif3', 'goosebumps')",0.02
"('Congratulations', 'iSpy (feat. Lil Yachty)')",0.0216
