,0
Say My Name,0.0268
Forever,0.0337
Closer,0.0761
Mr. Brightside,0.025
Home,0.0489
Ignition - Remix,0.0319
Don't Stop Believin',0.0271
No Role Modelz,0.0312
Stronger,0.0263
Lean On (feat. MØ & DJ Snake),0.0276
Riptide,0.0339
Mercy,0.0318
One Dance,0.0433
Sober,0.025
Redbone,0.0285
Body Like A Back Road,0.0273
My Girl,0.0295
Despacito - Remix,0.0288
I'm the One,0.0321
Hello,0.0305
White Iverson,0.0306
Jumpman,0.029
Ni**as In Paris,0.0284
Black Beatles,0.0296
Paris,0.0267
Bounce Back,0.03
goosebumps,0.0308
Deja Vu,0.0262
Congratulations,0.041
XO TOUR Llif3,0.033
Unforgettable,0.0331
Believer,0.0254
Let It Go,0.0281
Hallelujah,0.0283
Blessings,0.0284
Skinny Love,0.0273
Caroline,0.0395
Fake Love,0.0307
Shape of You,0.0321
That's What I Like,0.0264
Say It,0.0286
Alright,0.0281
Starboy,0.0285
T-Shirt,0.0355
Selfish,0.0271
Slide,0.0323
September,0.0261
Gold,0.0386
Down,0.0296
Let Me Love You,0.0403
Stay,0.0355
Location,0.0326
1-800-273-8255,0.0264
Don't,0.0311
Hurricane,0.029
Sorry,0.033
Roses,0.0436
Ride,0.0429
Trap Queen,0.0298
Passionfruit,0.0257
HUMBLE.,0.047
Tunnel Vision,0.0252
Don't Let Me Down,0.0322
Panda,0.032
Broccoli (feat. Lil Yachty),0.0402
No Problem (feat. Lil Wayne & 2 Chainz),0.0323
Bad and Boujee (feat. Lil Uzi Vert),0.0353
Mask Off,0.0316
Antidote,0.0264
Work,0.0271
iSpy (feat. Lil Yachty),0.0339
Hotline Bling,0.0277
The Hills,0.028
Gold Digger,0.0291
