,0
It Wasn't Me,0.0221
Yeah!,0.0244
Say My Name,0.0268
Hey Ya! - Radio Mix / Club Mix,0.0212
Party In The U.S.A.,0.0217
Forever,0.0337
Closer,0.0761
Mr. Brightside,0.025
Home,0.0489
Ignition - Remix,0.0319
Don't Stop Believin',0.0271
Bohemian Rhapsody - Remastered 2011,0.0243
No Role Modelz,0.0312
Stronger,0.0263
Lean On (feat. MØ & DJ Snake),0.0276
Trouble,0.0219
All I Want,0.0234
Riptide,0.0339
Intro,0.023
Mercy,0.0318
Gravity,0.0211
One Dance,0.0433
Sober,0.025
Redbone,0.0285
Body Like A Back Road,0.0273
My Girl,0.0295
Crazy,0.0213
Sweet Home Alabama,0.0215
Sweet Child O' Mine,0.0213
Despacito - Remix,0.0288
I'm the One,0.0321
Hello,0.0305
Jungle,0.0225
Uptown Funk,0.0233
V. 3005,0.0222
Where Are Ü Now (with Justin Bieber),0.0201
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0209
Hold On,0.0235
Angel,0.0225
Low Life,0.0241
Waves,0.0248
White Iverson,0.0306
Jumpman,0.029
Ni**as In Paris,0.0284
Black Beatles,0.0296
X (feat. Future),0.0205
Paris,0.0267
Bounce Back,0.03
goosebumps,0.0308
F**kin' Problems,0.0229
Deja Vu,0.0262
Congratulations,0.041
XO TOUR Llif3,0.033
Magnolia,0.02
Unforgettable,0.0331
Bank Account,0.0231
Stay (with Alessia Cara),0.0218
Something Just Like This,0.0222
Believer,0.0254
Let It Go,0.0281
Die A Happy Man,0.021
Hallelujah,0.0283
Blessings,0.0284
Skinny Love,0.0273
Too Good,0.0204
Caroline,0.0395
Famous,0.0212
Fake Love,0.0307
Shape of You,0.0321
Perfect,0.0211
That's What I Like,0.0264
Say You Won't Let Go,0.0207
Chicken Fried,0.0218
Come On Eileen,0.0207
Radioactive,0.0246
Never Be Like You,0.0232
Say It,0.0286
Alright,0.0281
Monster,0.0232
Starboy,0.0285
T-Shirt,0.0355
Selfish,0.0271
Slide,0.0323
Alone,0.0215
September,0.0261
Ain't No Mountain High Enough,0.0233
Kids,0.02
Gold,0.0386
Down,0.0296
Let Me Love You,0.0403
Stay,0.0355
Halo,0.02
Can't Feel My Face,0.0226
"i hate u, i love u (feat. olivia o'brien)",0.0207
With You,0.023
Location,0.0326
1-800-273-8255,0.0264
Swang,0.0223
Don't,0.0311
Hurricane,0.029
Sorry,0.033
What Do You Mean?,0.022
Roses,0.0436
Middle,0.0231
Shut Up and Dance,0.0229
Cheap Thrills,0.0214
Thinking Out Loud,0.0238
Summer,0.0207
Young Dumb & Broke,0.0221
Stay With Me,0.0205
Paradise,0.0226
All of Me,0.0241
Sugar,0.0204
Wagon Wheel,0.0247
Heathens,0.0228
Cold Water (feat. Justin Bieber & MØ),0.0241
Ride,0.0429
Trap Queen,0.0298
I Don't Fuck With You,0.0241
Fast Car,0.0234
Photograph,0.0219
rockstar,0.0234
Passionfruit,0.0257
HUMBLE.,0.047
Tunnel Vision,0.0252
Don't Let Me Down,0.0322
Let Her Go,0.0234
Panda,0.032
Broccoli (feat. Lil Yachty),0.0402
No Problem (feat. Lil Wayne & 2 Chainz),0.0323
Bad and Boujee (feat. Lil Uzi Vert),0.0353
Mask Off,0.0316
Slippery (feat. Gucci Mane),0.0241
DNA.,0.0232
Antidote,0.0264
Stressed Out,0.0228
"Me, Myself & I",0.0247
I Took A Pill In Ibiza - Seeb Remix,0.0225
No Diggity,0.0208
Chill Bill,0.023
Work,0.0271
You,0.0248
iSpy (feat. Lil Yachty),0.0339
Hotline Bling,0.0277
The Hills,0.028
679 (feat. Remy Boyz),0.0246
Controlla,0.0212
Wake Up,0.0215
Needed Me,0.0242
Work from Home,0.0222
My House,0.021
Believe,0.022
Love Yourself,0.0222
Alive,0.0233
This Is What You Came For,0.0215
Silent Night,0.0214
Drive,0.0242
Again,0.0214
Gold Digger,0.0291
I'm Yours,0.0248
Beautiful,0.0202
"('HUMBLE.', 'XO TOUR Llif3')",0.0204
"('HUMBLE.', 'Mask Off')",0.0204
"('Congratulations', 'HUMBLE.')",0.0214
